,tweet_preprocessing,sentimen
594,kak mohon maaf kendalanya ya bella inf ,positif
595,ikutan rejeki asik bukalapak kesempata ,negatif
596,nih ciwi ciwi udah gajian n nkita k ,positif
597,semangat guyys pandemi tet ,netral
598,ramadan promo nih bayarnya p ,positif
599,kak mohon maaf kakak transaksi hubung ,positif
600,ketipu untung keburu curiga ikutin petunjuk pelapak teru ,negatif
601,gk ketipu org paham yg jgn share data otp liat we ,negatif
602,bukalapak bawel banget,negatif
603,hai kak mohon maaf ketidaknyamanannya ya informasikan bella alamat email no,negatif
604,btw bukalapak kabar sih ,negatif
605,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses,netral
606,hai kak maaf banget ya kendalanya yuk lampirkan screenshot kendalanya dm bella bantu cek ya kak ,negatif
607,males bukalapak kayaknya seller merasakan yg ,negatif
608,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,negatif
609,yukk rb aja bukalapak ready biar enak,positif
610,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak,positif
611,males bukalapak kayaknya seller merasakan yg,positif
612,kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya nama,negatif
613,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses,negatif
614,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,negatif
615,fix gua gabut malem dengerin lagu iklan bukalapak,positif
616,bukalapak emang cincay,negatif
617,sertifikat prakerja tertahan bukalapak cc,positif
618,buka usaha min ,negatif
619,hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm,positif
620,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas,negatif
621,min membatalkan transaksi merubah kurir susah ya,negatif
622,bukalapak menu investasi emas layanan nabung emas batangan,negatif
623,harga amazon usd sampe usd shipping bea cukai dijual juta,positif
624,hai kak mohon maaf kendalanya ya keamanan data kakak pindah dm yuk kak infoin alamat,negatif
625,dorong industri game bukalapak hadirkan program turnamen asik,negatif
626,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up game,positif
627,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
628,pas banget doyan aktivitas media digital streaming film sampe nge game,netral
629,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
630,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,positif
631,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
632,smartphone versi terbaru tunggu tunggu udah pasaran yuk,positif
633,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program,positif
634,gamenang beli mmm gatau sih msti prcya engga,positif
635,kak maaf banget kendalanya bella cek kendala kakak bella bantu,negatif
636,tersedia jg bukalapak shopee toped wa bro,negatif
637,saksikan live streaming leadership talks strategi perjuangan perusahaan era pandemic ,positif
638,pembeli gk dihubungi aja transaksi laporkan viralkan,positif
639,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan,negatif
640,memiliki bukti perbaikan pasien signifikan,negatif
641,jual bukalapak carousel deh cepet lakunya,negatif
642,netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
643,proses semoga bertahan dgn membatalkan transaksi yg sdh diproses,netral
644,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaca,netral
645,gak ngebadut ya syopii sampe gua pindah haluan bukalapak ,negatif
646,marketplace konyol yg,negatif
647,pelapak dirugikan cancel orderan persetujuan pelapak,negatif
648,mudah sahabat pilih program program rumah zakat langsung bukalapak,negatif
649,order pomade langsung bukalapak,negatif
650,salah kode unik udh nungfu disuruh nungfu brpa woy ,positif
651,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa,negatif
652,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan,negatif
653,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
654,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh,negatif
655,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
656,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
657,kelanjutan dana sayaa btuh uang bayar angsuran,negatif
658,kelanjutan dana sayaa btuh uang bayar angsuran yaallah,negatif
659,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,negatif
660,cek perlengkapan butuhkan harganya terbaik ,positif
661,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb ,positif
662,kak penarikan dana kerekning bca status pending ya ,positif
663,penggemar setia bukalapak terima kasih user experience ya,negatif
664,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak,positif
665,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim,negatif
666,basi jawabanmu gaada kejelasan gaada penyelesaian,positif
667,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm,negatif
668,upgrade hp menyelesaikan aktivitas online gitu yu beli bundling,negatif
669,order pomade langsung bukalapak,positif
670,pastikan kali trakhir makai pilihan topuo aktivitas sehari,positif
671,admin twiiter gak tiao ni tiket berubah ,negatif
672,profesional berhati kawan lupa kode unik,negatif
673,belanja bukalapak bayarnya pakai coba vote ðÿ ,negatif
674,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik â ,negatif
675,gw bgt tim ui ux nya shopee bukalapak,positif
676,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rpâ ,positif
677,investasi emas,positif
678,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp,netral
679,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,negatif
680,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ ,positif
681,gila potongan super seller cuy pantesan platform sepi super seller nggak aja â ,positif
682,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
683,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
684,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,positif
685,tolong voucher diterbitkan aja udah ampir sebulan gak hasil,negatif
686,oke kak lupa jaga kesehatan ya kendala bukalapak silakaâ ,negatif
687,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,negatif
688,cek produk new update gt gt gt bukalapak gt gt ,positif
689,cek perlengkapan butuhkan harganya terbaik ,positif
690,bukalapak chino k jaket jeans k kemeja denim k dll gt pin fce hp lt ,positif
691,bukalapak promo moms,netral
692,iya nih bukalapak sepi sepi aja,positif
693,rt buku das kapital ribu bukalapak udah buku ,negatif
694,rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual bukaâ ,negatif
695,buku das kapital ribu bukalapak udah buku ,positif
696,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuâ ,negatif
697,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli ,positif
698,bukalapak cincau harga santai kagak lebay dinego aje sayy sayy ,positif
699,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xxâ ,positif
700,bukalapak ðÿ emang ðÿ cincai ðÿ harga ðÿ santai ðÿ ž kagak âœ ï lebay ðÿ dinego ðÿ aje ðÿ say ðÿ ðÿ ðÿ sayâ ,negatif
701,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,negatif
702,mohon bantuannya sy pesan barang pelapak stuff station id transaksi â tgl pelaâ ,positif
703,buka dm min ga respon kek doi ,negatif
704,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat,negatif
705,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt,negatif
706,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasiâ ,negatif
707,hai kak maaf banget nggak nyaman ya kak perihal kendala bella konfirmasi melalâ ,negatif
708,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,negatif
709,nabung emas aja udah ,positif
710,netijen please do your magic bantu jualan gue bukalapak yuk belinya ,positif
711,hai kak kendala bella konfirmasi dm ya kak yuk pindak dm kak nt,netral
712,beli reksadana emas bukalapak,negatif
713,lanjutan mksdnya gimana woy bener no tiket laporan sy yg skrng hdeh jancok gaj jelasâ ,positif
714,investasi reksadana emas bukalapak ayo bantu ,negatif
715,dapet gratisan bl ya ðÿ ðÿ ,positif
716,gimana nih bales dm nya kak,netral
717,ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtuaâ ,negatif
718,hai kak maaf kendalanya ya yuk dm bella infoin detail kendala ya kak bdp,positif
719,invest emas bukalapak rupiah,negatif
720,maaf kendala ya kak mohon infoin bella via dm nomor transaksinya bukti resi fisik daâ ,positif
721,order pomade langsung gt gt gt bukalapak,negatif
722,hai kak maaf kendala ya mohon infokan bella detail terkait kendala ya infâ ,positif
723,biar belanja hemat lupa pake voucher bank mandiri nih lumayan banget voucher ongkir rpâ ,negatif
724,cek perlengkapan butuhkan harganya terbaik ,positif
725,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pktâ ,positif
726,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat eâ ,negatif
727,hai kak maaf kendalanya ya bella diinfokan detail kendala dm ya kak mohon diâ ,negatif
728,hai kak mohon maaf kendala dialami terkait kendala kakak diinfokan bella dm ya kak ar,negatif
729,beli buka mas rb masuk saldo tinggal sisanya kemana,negatif
730,hi selamat terpilih pemenang kuis cek dm ya ,negatif
731,ngasih emas nih ambil hadiah emasnya ,positif
732,hallo membeli pelatihan prakerja bukalapak menyelesaikan pelatihan skill aâ ,positif
733,kejadian shopee bukalapak balikin akunku,positif
734,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,negatif
735,malam min knp ga login ya padhal udah bener sms kode bener gagalâ ,positif
736,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,negatif
737,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakakâ ,positif
738,mega app ma mitra bukalapak tu logonya kalo notif suka binun,negatif
739,hai kak maaf banget ya kendalanya terkait kendala yuk infoin bella alamat email nâ ,negatif
740,kak bukalapak eror ya otp sms gak masukâ² pagi,negatif
741,hai kak maaf kendala alami ya kak bella bantu cek ya yuk infoin alamatâ ,negatif
742,reksadana mudah transaksi beli amp jualnya harganya terjangkau sesuai budget pilihan portfoâ ,negatif
743,halo kak bukalapak kak iklan tv sampe ketinggalan liat iklannya kak ðÿ an,positif
744,kubah masjid enamel amp stainless harga murah dipesan,positif
745,udah ga iklan tv si min ga ikutan ky yg ,positif
746,cek perlengkapan butuhkan harganya terbaik ,negatif
747,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,positif
748,memiliki bukti perbaikan pasien signifikanâ ,positif
749,halo min register buka lapak ga otp nomor hp ya ,negatif
750,hai kak maaf banget nih kendalanya keterbatasan karakter yuk pindah dm kak biar ngobrolnya lâ ,negatif
751,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,negatif
752,nomor transaksi nomor resi paket kirimâ ,positif
753,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
754,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,negatif
755,maaf banget ya bikin ngga nyaman terkait mohon informasikan nomor telepon alamat eâ ,positif
756,user bukalapak cek favorit ,negatif
757,fitur jual barang varian pilihan dâ ,netral
758,barang blm nyampe nih kak,negatif
759,tolong klo refund dikembalikan sesuai yg semestinya refund pulsa serbu honda beat sesuaiâ ,negatif
760,bukalapak chino k jaket jeans k kemeja denim k dll gt pin fce hp lt ,negatif
761,gx bukalapak ja ,positif
762,maybe bund bukalapak,netral
763,berjualan online bukalapak versi mobile android desktop,positif
764,anjim twitter gua kaya bukalapak,positif
765,saldo gaditerusin buka dompet penjual disetujui merubah resi otomatis manual rugi penjuaâ ,negatif
766,asli sisten jualan bl bobrok barang dikirim pake resi manual disetujui bl minâ ,negatif
767,cek perlengkapan butuhkan harganya terbaik ,negatif
768,biarcepet laku spefikasi dm aj harga free ongkir rekber tokped bukalapak,positif
769,halo min dpt sms notifikasi ganti no telf akun bl dapet email ya ,positif
770,berguru,negatif
771,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih lamaâ ,netral
772,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
773,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,netral
774,for sale like new pengiriman tangsel transaksi bukalapak shopee by request nego tp jâ ,netral
775,yakiiin lho jam malem ðÿ ,positif
776,ðÿ ðÿ enyah lo jgn promosi bukalapak,netral
777,suka ngulik ngulik aplikasi keuangan pakai buka reksa aplikasi bukalapak bareksa terâ ,negatif
778,buibuuuukk jam udah tau ngapain nih coba reply twit ngapainðÿ ,positif
779,hai kak senang hati bella informasikan mengaktifkan kurir lapak lâ ,netral
780,bukalapak anak bangsa minimal lu hargain bos ,positif
781,stok kuota streaming film weekend oiya registrasi kartuhalâ ,negatif
782,no need buang say no to bukalapak,positif
783,kesulitan pengiriman barang jual berat mohon bantuannya sayaâ ,negatif
784,hallo kak maaf nih saldo pulsa kakak masuk pindah dm yuk kak ngobrolnya biar enak aâ ,negatif
785,gimana ya min transfer selisihnya ,negatif
786,hi kak maaf ketidaknyamanannya ya kak bella infokan proses jual instan mengikuti taâ ,negatif
787,saldo pulsa nya blm masuk,negatif
788,movie marathon libur layanan halo kick gold berisi kuota internet gb mâ ,negatif
789,min tny ttg bukareksa jual instan kalo jual nab lbh ditransfer sâ ,negatif
790,hai kak maaf banget nggak nyaman ya kak yuk infoin detail kendala dm dapâ ,netral
791,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapakâ ,negatif
792,rt bikin ginian domain available langsung dibeli ga tau apâ ,negatif
793,rt bikin ginian domain available langsung dibeli ga tau apâ ,negatif
794,berjualan online bukalapak versi mobile android desktop,negatif
795,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email danâ ,positif
796,tolong dibantu penjualan no pesanan diterima pembeli pembeliâ ,negatif
797,waah sih milih investasi emas yah emas harganya cenderung stabil â ,negatif
798,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,positif
799,rupiah mhank ,negatif
800,hai kak kakak mengalami kendala terkait mitra bukalapak menghubungi cs mitra bukalapak liâ ,netral
801,siang kak maaf kendala sertifikatnya nih bikin nunggu ðÿ bella cek kendalanâ ,negatif
802,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomoâ ,negatif
803,daftarnya selesai tinggal nunggu info amp mengikuti trainingnya,negatif
804,min bukalapak lemot yaa aplikasinya nya,netral
805,mantap bln kelas blm slesai gimana beli eummmm,positif
806,peserta kartu prakerja gelombang lupa ya beli pelatihan pertamanya batas akâ ,negatif
807,nnti yg bukalapak ngitung harganya bingung,positif
808,pengawal perusahaan gojek bukalapak menggerakkanâ ,negatif
809,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
810,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
811,mengajakmu bergabung bukalapak memberikanmu credits rp cek ,netral
812,udah gak belanja bl toko gak verified trus promo nya gak hijau pâ ,positif
813,hoyong diajar atuh ðÿ ,negatif
814,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,negatif
815,ketawain kasian ,positif
816,emang yg belanja bl ,negatif
817,investasi emas menurutku resikonya rendah emas mahal selainâ ,negatif
818,gimana ðÿ ,positif
819,hei bos rubah orderan buyer sy resi otomatis sicepat manual jne acc bl sâ ,netral
820,jasa topup dompet digital,negatif
821,jualan apaa nder tips ,netral
822,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,netral
823,reksadana suka berinvestasi,positif
824,rt ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung officiaâ ,positif
825,min bsa bantu alamat kantor sicepat d lhokseumawe aceh ,positif
826,hub transit tuh maksudnya gimana gak jalan jalan kemarin tgl merah libur ,netral
827,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
828,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
829,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
830,jual kejutan kejutan francine pascal rp pesan via bukalapak klik â ,negatif
831,shopee k vision bukalapak kvision,negatif
832,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,positif
833,karna no ribet dijadiin tabungan,negatif
834,cek produk new update gt gt gt bukalapak gt gt ,negatif
835,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,positif
836,hallah typo pelawak maksudnya pelapak ðÿ ,positif
837,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
838,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
839,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
840,kak maaf ketidaknyamanannya ya terkait transaksi mohon menunggu pelapâ ,negatif
841,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
842,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
843,shopee lazada tokped bukalapak gaaa,negatif
844,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
845,kalo suka investasi reksadana sebenernya kalo uang investasi emas ga maâ ,negatif
846,kalo link shoopie tokped bukalapak dicantumkan yg beli gak ragu seller yg nipu ðÿ ðÿ ,positif
847,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
848,semenjak pandemi market karuan alias crash kesempatanku konsisten nabung reksâ ,negatif
849,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
850,cek perlengkapan butuhkan harganya terbaik ,positif
851,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,netral
852,hai kak maaf ya kendala kuyy bella bantu kak infoin nomor telepon email akun bukalapak kamâ ,positif
853,alhamadulillah nya saia koneksi intern d bukalapak yayyyyy,negatif
854,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
855,investasi reksadana mudah risiko kerugiannya suka investasi reksadana awalâ ,positif
856,kak kendala bukalapak tinggal colek mimin bella ya ðÿ jbt,positif
857,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,positif
858,kak ya kendala bukalapak hubungi bella ðÿ jbt,negatif
859,tampilan e com yg bikin pusing bukalapak zilingoooo ampun pusing bener cari barang,positif
860,notif bukalapak ngeri sehari puluhan kali,negatif
861,mbok kiro gojek toped bukalapak iku duduk garapane milenial a,negatif
862,transaksi okt clear no resinya resi sms tsb ,positif
863,permisi share ready stock tokyobike cari city bike kids bike more coming soon terima kasihâ ,negatif
864,hai kak maaf nyaman ya kak terkait pemberitahuan aplikasi bukalapak kamuâ ,positif
865,kak mohon maaf kakak transaksi hubungâ ,negatif
866,yg sms bukalapak ,negatif
867,terimakasih infonyaðÿ ðÿ ,positif
868,ketipu untung keburu curiga ikutin petunjuk pelapak teruâ ,positif
869,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
